industry,workforce,responses
Manufacturing,Workforce Size 0-249,648
Manufacturing,Workforce Size 250+,449
"Water Supply, Sewerage, Waste Management And Remediation Activities",Workforce Size 0-249,50
"Water Supply, Sewerage, Waste Management And Remediation Activities",Workforce Size 250+,20
Construction,Workforce Size 0-249,208
Construction,Workforce Size 250+,76
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Workforce Size 0-249,686
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Workforce Size 250+,344
Accommodation And Food Service Activities,Workforce Size 0-249,321
Accommodation And Food Service Activities,Workforce Size 250+,195
Transportation And Storage,Workforce Size 0-249,193
Transportation And Storage,Workforce Size 250+,89
Information And Communication,Workforce Size 0-249,297
Information And Communication,Workforce Size 250+,121
"Professional, Scientific And Technical Activities",Workforce Size 0-249,468
"Professional, Scientific And Technical Activities",Workforce Size 250+,265
Administrative And Support Service Activities,Workforce Size 0-249,453
Administrative And Support Service Activities,Workforce Size 250+,361
Education,Workforce Size 0-249,127
Education,Workforce Size 250+,191
Human Health And Social Work Activities,Workforce Size 0-249,85
Human Health And Social Work Activities,Workforce Size 250+,59
"Arts, Entertainment And Recreation",Workforce Size 0-249,180
"Arts, Entertainment And Recreation",Workforce Size 250+,98
