industry,responses
Manufacturing,1097
"Water Supply, Sewerage, Waste Management And Remediation Activities",70
Construction,284
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1030
Accommodation And Food Service Activities,516
Transportation And Storage,282
Information And Communication,418
"Professional, Scientific And Technical Activities",733
Administrative And Support Service Activities,814
Education,318
Human Health And Social Work Activities,144
"Arts, Entertainment And Recreation",278
