industry,status,proportion
Manufacturing,Continuing to trade,79.0
Manufacturing,Permanently ceased trading,0.4
Manufacturing,Temporarily closed or paused trading,20.6
"Water Supply, Sewerage, Waste Management And Remediation Activities",Continuing to trade,90.0
"Water Supply, Sewerage, Waste Management And Remediation Activities",Permanently ceased trading,0.0
"Water Supply, Sewerage, Waste Management And Remediation Activities",Temporarily closed or paused trading,10.0
Construction,Continuing to trade,73.2
Construction,Permanently ceased trading,0.7
Construction,Temporarily closed or paused trading,26.1
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Continuing to trade,75.2
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Permanently ceased trading,0.5
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Temporarily closed or paused trading,24.3
Accommodation And Food Service Activities,Continuing to trade,18.2
Accommodation And Food Service Activities,Permanently ceased trading,1.2
Accommodation And Food Service Activities,Temporarily closed or paused trading,80.6
Transportation And Storage,Continuing to trade,91.5
Transportation And Storage,Permanently ceased trading,0.0
Transportation And Storage,Temporarily closed or paused trading,8.5
Information And Communication,Continuing to trade,95.0
Information And Communication,Permanently ceased trading,0.5
Information And Communication,Temporarily closed or paused trading,4.5
"Professional, Scientific And Technical Activities",Continuing to trade,96.7
"Professional, Scientific And Technical Activities",Permanently ceased trading,0.3
"Professional, Scientific And Technical Activities",Temporarily closed or paused trading,3.0
Administrative And Support Service Activities,Continuing to trade,91.5
Administrative And Support Service Activities,Permanently ceased trading,0.4
Administrative And Support Service Activities,Temporarily closed or paused trading,8.1
Education,Continuing to trade,86.8
Education,Permanently ceased trading,0.6
Education,Temporarily closed or paused trading,12.6
Human Health And Social Work Activities,Continuing to trade,93.7
Human Health And Social Work Activities,Permanently ceased trading,1.4
Human Health And Social Work Activities,Temporarily closed or paused trading,4.9
"Arts, Entertainment And Recreation",Continuing to trade,20.5
"Arts, Entertainment And Recreation",Permanently ceased trading,0.0
"Arts, Entertainment And Recreation",Temporarily closed or paused trading,79.5
